config_id,embedding_dim,heads,layers,drop_rate,num_epochs,batch_size,lr,train_avg_loss,train_perplexity,train_token_accuracy,train_num_samples,train_avg_bleu,train_exact_match_rate,test_avg_loss,test_perplexity,test_token_accuracy,test_num_samples,test_avg_bleu,test_exact_match_rate,number_parameter,cpp_model_size
emb24_h2_l1_d005_ep500_bs4_lr0005,24,2,1,0.05,500,4,0.005,0.3008507043123245,1.351007626868117,0.8926858513189448,105,1.0,1.0,7.570773601531982,1940.6409838492505,0.3935483870967742,27,0.04237838519085924,0.0,29016,417713
emb24_h2_l1_d005_ep500_bs8_lr001,24,2,1,0.05,500,8,0.01,0.3056552857160568,1.3575142713233317,0.8902877697841727,105,1.0,1.0,7.8593363761901855,2589.8011513099495,0.3827956989247312,27,0.06227147725335694,0.0,29016,417813
emb24_h2_l1_d005_ep500_bs8_lr0005,24,2,1,0.05,500,8,0.005,0.31244052201509476,1.3667566468249992,0.8914868105515588,105,0.9830687830687831,0.9809523809523809,8.027010917663574,3062.5736932440673,0.4129032258064516,27,0.05681683535680086,0.0,29016,417711
emb24_h2_l2_d001_ep300_bs4_lr001,24,2,2,0.01,300,4,0.01,0.3284383565187454,1.3887976273688805,0.8884892086330936,105,0.9899778276848656,0.9809523809523809,7.734540939331055,2285.959069482251,0.3913978494623656,27,0.05930362625784849,0.0,36168,514439
emb24_h2_l2_d001_ep300_bs4_lr0005,24,2,2,0.01,300,4,0.005,0.3054058104753494,1.3571756473646326,0.8932853717026379,105,1.0,1.0,7.633594512939453,2066.4646197308857,0.3913978494623656,27,0.053679206973748485,0.0,36168,514674
emb24_h2_l2_d001_ep300_bs8_lr001,24,2,2,0.01,300,8,0.01,0.3165004104375839,1.3723168054864954,0.8926858513189448,105,1.0,1.0,7.3618550300598145,1574.7550731562796,0.4,27,0.037231071857477635,0.0,36168,514896
emb24_h2_l2_d001_ep300_bs8_lr0005,24,2,2,0.01,300,8,0.005,0.3204154148697853,1.3776999625284465,0.8902877697841727,105,0.9904761904761905,0.9904761904761905,7.2528228759765625,1412.085369168401,0.4043010752688172,27,0.15623836422362572,0.07407407407407407,36168,514678
emb24_h2_l2_d001_ep500_bs4_lr001,24,2,2,0.01,500,4,0.01,0.35274646431207657,1.4229703239352514,0.8782973621103117,105,0.9315255262979233,0.9047619047619048,8.313162803649902,4077.187957419019,0.36989247311827955,27,0.023751699411189976,0.0,36168,514033
emb24_h2_l2_d001_ep500_bs4_lr0005,24,2,2,0.01,500,4,0.005,0.3044275641441345,1.3558486444404796,0.8932853717026379,105,1.0,1.0,7.821326732635498,2493.21103916808,0.36774193548387096,27,0.047801353917873705,0.0,36168,514432
emb24_h2_l2_d001_ep500_bs8_lr001,24,2,2,0.01,500,8,0.01,0.3117268681526184,1.365781603627982,0.8908872901678657,105,1.0,1.0,7.324306011199951,1516.7209459879145,0.3956989247311828,27,0.06623636465487229,0.0,36168,514795
emb24_h2_l2_d001_ep500_bs8_lr0005,24,2,2,0.01,500,8,0.005,0.30043569952249527,1.3504470685571084,0.8932853717026379,105,1.0,1.0,7.631977558135986,2063.1259398125103,0.3827956989247312,27,0.01332453063773353,0.0,36168,514469
